NUTS2,affo rate (t/ha/y),Source
HU33,4.396781220184848,direct
IE01,3.480997533458953,direct
IE02,3.2293018372945888,direct
IS00,1.060991223300169,direct
ITC1,3.594981139030529,direct
ITC2,1.613930288695159,direct
ITC3,3.2398144443360577,direct
ITC4,3.806481484757691,direct
ITF1,1.784939892695079,direct
ITF2,1.594468173181329,direct
ITF3,4.312528723331644,direct
ITF4,1.905464154282597,direct
ITF5,2.776540462377347,direct
ITF6,2.480355863996201,direct
ITG1,1.890610312633535,direct
ITG2,1.6234309289270168,direct
ITH1,3.2832049299541746,avg nuts2 near
ITH2,3.4898873274075037,avg nuts2 near
ITH3,3.173293170057316,direct
ITH4,2.95213745496119,direct
ITH5,3.477222378863017,direct
ITI1,2.68754337586282,direct
ITI2,2.486843921570526,direct
ITI3,3.8509701842793804,direct
ITI4,3.1648781669533,direct
LI00,3.319668405921628,avg nuts2 near
LT00,2.9075577209916457,avg nuts2 near
LU00,3.865144629616279,avg nuts2 near
LV00,1.485858107962091,direct
ME00,1.403822533267836,avg nuts2 near
MK00,4.066228038658328,avg nuts2 near
MT00,4.025368845760703,EL43 copy
NL11,5.933696257522596,direct
NL12,5.933696257522596,direct
NL13,5.933696257522596,direct
NL21,5.933696257522596,direct
NL22,5.933696257522596,direct
NL23,5.933696257522596,direct
NL31,5.933696257522596,direct
NL32,5.933696257522596,direct
NL33,5.933696257522596,direct
NL34,5.933696257522596,direct
NL41,5.933696257522596,direct
NL42,5.933696257522596,direct
NO01,1.896545606757958,avg nuts2 near
NO02,1.7230470874296948,avg nuts2 near
NO03,2.4699018259686314,avg nuts2 near
NO04,1.797029179582487,avg nuts0 (from NUTS2)
NO05,1.797029179582487,avg nuts0 (from NUTS2)
NO06,1.3052698957008004,avg nuts2 near
NO07,1.5903814820553515,avg nuts2 near
PL11,3.840806499115159,direct
PL12,3.418384087445316,direct
PL21,2.638566547876602,direct
PL22,3.840806499115159,direct
PL31,3.840806499115159,direct
PL32,2.638566547876602,direct
PL33,3.840806499115159,direct
PL34,3.496894540262475,direct
PL41,4.395747665821659,direct
PL42,3.739920514750371,direct
PL43,4.395747665821659,direct
PL51,4.477872924523881,direct
PL52,4.477872924523881,direct
PL61,4.395747665821659,direct
PL62,3.739920514750371,direct
PL63,3.739920514750371,direct
PT11,4.062223853937406,direct
PT15,3.655263008401757,direct
PT16,1.3943690496212289,direct
PT17,3.3848159749187268,direct
PT18,4.229936343090985,direct
PT20,3.3453216459940207,avg nuts0 (from NUTS2)
PT30,3.3453216459940207,avg nuts0 (from NUTS2)
RO11,2.1512534661748552,direct
RO12,2.1512534661748552,direct
RO21,2.581509688532136,direct
RO22,2.581509688532136,direct
RO31,2.9888596320856693,direct
RO32,2.9888596320856693,direct
RO41,3.4424190352868846,direct
RO42,3.4424190352868846,direct
SE11,2.897971400891782,direct
SE12,2.908172229910889,direct
SE21,2.81976305121983,direct
SE22,3.555366838835311,direct
SE23,3.043258045179304,direct
SE31,1.896545606757958,direct
SE32,1.5495485681014318,direct
SE33,1.060991223300169,direct
SI03,2.100869977666473,direct
SI04,1.9503570875275522,direct
SK01,2.276962334040884,direct
SK02,2.109800372991225,direct
SK03,2.270702542971642,direct
SK04,2.176403118840648,direct
TR10,3.3986092878555936,avg nuts0 (from NUTS2)
TR21,3.3986092878555936,avg nuts2 near
TR22,3.3986092878555936,avg nuts0 (from NUTS2)
TR31,3.3986092878555936,avg nuts0 (from NUTS2)
TR32,3.3986092878555936,avg nuts0 (from NUTS2)
TR33,3.3986092878555936,avg nuts0 (from NUTS2)
TR41,3.3986092878555936,avg nuts0 (from NUTS2)
TR42,3.3986092878555936,avg nuts0 (from NUTS2)
