NUTS_ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FR24,0.014886871018344995,0.02399300392488496,0.06935437462636322,0.1386194150895618,0.1948995860255633,0.16969099062891038,0.135844074450129,0.1045131106523808,0.06938345315408344,0.041623025313185104,0.022407108900807902,0.014784986215785119
FR62,0.015494320049376183,0.024640392222562205,0.061013340261920575,0.11458635792024147,0.1641188714156792,0.17283646016274487,0.1542286487635839,0.1226534740960816,0.08231337620962297,0.048616172700138294,0.024472133702203244,0.015026452495845525
FRA5,0.05360931372008682,0.08103787600948105,0.12127128599646665,0.12438842794698524,0.10934110250375724,0.0898743179654266,0.08001620360303083,0.07816564091029445,0.07201541059629217,0.06954795240207268,0.06559728086755187,0.0551351874785544
ITF3,0.023376095347251654,0.0319907184376064,0.06533837584866864,0.11853375565325457,0.17479452803977957,0.162331926473098,0.1301703429742823,0.10074851056310234,0.07974382154064664,0.056274502443647824,0.03411932328592488,0.022578099392737194
ITF4,0.03687947475495991,0.05789382703099996,0.11464598613487682,0.15938562872892825,0.15080368781993803,0.11443912968900254,0.09280341997007678,0.07573601748992012,0.06403506949780206,0.054667752034500625,0.04333497207676319,0.0353750347722317
FR25,0.017899621461386076,0.028487481814686196,0.06956846261010576,0.12068418320084924,0.1587799149744673,0.1607640192228655,0.14728837314410356,0.1180769405613657,0.08591213865700283,0.04881445508132077,0.026943473119709214,0.01678093615213785
ITF6,0.035396369376603516,0.04478596292909883,0.07049527141498692,0.10403800473417742,0.14016356326439866,0.14651330518518524,0.12559354751917015,0.09976279812261668,0.08504003323786627,0.06653898484415638,0.047405477974770426,0.034266681396969485
ITH1,0.005341710163582321,0.006112178253764514,0.025229953495948063,0.06713505360281327,0.1427549164710369,0.19890885208869485,0.211797358870289,0.17042994356222932,0.10834710731966939,0.04744977616232708,0.012343144785932651,0.004150005223712625
FR63,0.014081756450005839,0.023557517276395833,0.05936006779581185,0.10957731765169738,0.16011204438659393,0.16777234054363946,0.1592101045821102,0.12793189571545635,0.08921854340299173,0.051073215364242856,0.024258254531870617,0.013846942299183939
FR72,0.011384525079872577,0.019444745821608444,0.05698083609233477,0.10962537496762254,0.16100667100382282,0.17321984595577403,0.15859726687206763,0.1315171111208728,0.09126143823275443,0.05159583101198884,0.023452922422015944,0.011913431419265154
ITH2,0.0029121275834998947,0.003873023669993607,0.02051269795034303,0.057671866280047376,0.14191911642790608,0.20826161507339677,0.2215788067935497,0.17654731756632677,0.10716679572895416,0.04511049962937449,0.010701257513228616,0.0037448757833795257
ITH3,0.008971457296430438,0.012610810138976301,0.03575847920487647,0.08323296644990685,0.14761600552146203,0.2046454153137534,0.20542783756874805,0.1505424620534645,0.0844436756868312,0.04056328931008319,0.017234526758203802,0.00895307469726377
LT00,0.0002798033587058276,0.0005546282652819136,0.01155807135856392,0.060630855065025156,0.18568654805424867,0.2573243438537599,0.22546929564462478,0.1519710222132063,0.0754343677332943,0.023062105591748257,0.007445057135918996,0.0005839017256219572
ITG1,0.050373088486968635,0.0774706776031006,0.13185839293028778,0.16690554377680356,0.14651024919933103,0.09882101596134868,0.07137075007826858,0.05422110120906208,0.05079668185225186,0.05340912505242328,0.05324815823002113,0.045015215620132776
FR71,0.011078331274883087,0.016761917609146627,0.0440535850821409,0.09679631699567981,0.15381259751619544,0.1844131413708366,0.1767086005650539,0.14062789016152427,0.09503630376891158,0.04907320644005269,0.020578370818645313,0.011059738396929772
ITH4,0.006852714068997661,0.009717695865761572,0.025145882890128972,0.07654662076091778,0.16494578491950487,0.2072688460540787,0.20294476120213262,0.15640809428961747,0.08970438428597005,0.03899152691738843,0.014451390440672564,0.00702229830482931
ITH5,0.011371785501236768,0.017529611443936024,0.05231285550231483,0.11536979167779635,0.1796023334977315,0.19373264366169254,0.1596105366403215,0.11408924468334253,0.07905341571014685,0.04358686000796227,0.021928882045253846,0.011812039628265004
LU00,0.010139504971579743,0.015039997478901506,0.0465212111012144,0.11040662934802471,0.16867222564809534,0.18573310769773482,0.16696946268511048,0.13886781011931038,0.08671989838451717,0.043584291641108455,0.017770650060017018,0.009575210864385989
LV00,0.0007308071435018325,0.0011659519222873389,0.009151051591913331,0.054318150582909744,0.17525680550695652,0.2534623859016623,0.23593406412445367,0.16298175763381462,0.07830048358178462,0.02122185122027698,0.00642724421932604,0.0010494465711129754
