country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr,density_tCO2_ha
FR,FRJ2,FRJ2,QT,broad,?,25,2.6519999999999997,0.63,3.8288249999999997,95.720625
FR,FRK1,FRK1,QT,broad,?,25,3.16,0.62,4.489833333333333,112.24583333333334
FR,FRK2,FRK2,QT,broad,?,25,2.14,0.63,3.0896250000000003,77.24062500000001
HR,?,NUTS0,CB,broad,H,95,2.3705263157894736,0.68,3.694070175438597,350.9366666666667
HR,?,NUTS0,FS,broad,H,95,2.6357894736842105,0.66,3.9866315789473683,378.72999999999996
HR,?,NUTS0,OB,broad,H,95,2.311578947368421,0.56,2.9665263157894737,281.82
HR,?,NUTS0,OC,con,H,85,1.5988235294117648,0.42,1.5388676470588234,130.80374999999998
HR,?,NUTS0,QP,broad,H,95,2.6589473684210527,0.63,3.8388552631578947,364.69125
HR,?,NUTS0,QR,broad,H,95,3.082105263157895,0.65,4.591052631578948,436.15000000000003
HU,?,NUTS0,FS,broad,H,45,3.595555555555556,0.62,5.108685185185186,229.89083333333335
HU,?,NUTS0,OH,broad,H,35,4.0285714285714285,0.5,4.616071428571428,161.56249999999997
HU,?,NUTS0,OS,broad,H,45,3.588888888888889,0.5,4.112268518518519,185.05208333333337
HU,?,NUTS0,PA,con,H,45,4.0377777777777775,0.42,3.88636111111111,174.88624999999996
HU,?,NUTS0,PS,con,H,45,4.413333333333333,0.44,4.450111111111111,200.255
HU,?,NUTS0,PT,broad,H,65,4.426153846153846,0.4,4.057307692307692,263.72499999999997
HU,?,NUTS0,QR,broad,H,55,3.4272727272727272,0.61,4.791041666666667,263.5072916666667
IE,?,NUTS0,AG,broad,H,95,0.07263157894736842,0.67,0.11151973684210525,10.594375
IE,?,NUTS0,FS,broad,H,95,0.11263157894736842,0.89,0.22972149122807015,21.823541666666664
IE,?,NUTS0,OB,broad,H,95,0.33894736842105266,0.56,0.4349824561403509,41.32333333333334
IE,?,NUTS0,OC,con,H,95,6.823157894736843,0.43,6.72365350877193,638.7470833333333
IE,?,NUTS0,PA,con,H,75,5.629333333333333,0.43,5.547238888888889,416.04291666666666
IE,?,NUTS0,PS,con,H,95,0.2094736842105263,0.47,0.2256206140350877,21.433958333333333
IT,AA,ITH1,AA,con,H,25,8.4,0.54,10.395000000000001,259.87500000000006
IT,Ba,ITF5,AA,con,H,25,7.228,0.55,9.110291666666667,227.75729166666667
IT,Cal,ITF6,AA,con,H,25,7.18,0.55,9.049791666666668,226.24479166666669
IT,ER,ITH5,AA,con,H,25,8.764,0.54,10.845450000000001,271.13625
IT,FVG,ITH4,AA,con,H,25,19.408,0.5,22.238333333333333,555.9583333333334
IT,Li,ITC3,AA,con,H,25,10.968,0.53,13.32155,333.03875
IT,Lo,ITC4,AA,con,H,25,12.12,0.52,14.443,361.075
IT,Mo,ITF2,AA,con,H,25,6.263999999999999,0.56,8.038799999999998,200.96999999999997
IT,Pi,ITC1,AA,con,H,25,4.172,0.58,5.545283333333333,138.63208333333333
IT,Tn,ITH2,AA,con,H,25,9.544,0.54,11.810700000000002,295.26750000000004
IT,To,ITI1,AA,con,H,25,12.192,0.52,14.528800000000002,363.22
IT,Ve,ITH3,AA,con,H,25,7.167999999999999,0.55,9.034666666666666,225.86666666666667
IT,Ab,ITF1,BP,broad,H,55,1.029090909090909,0.45,1.06125,58.36875
IT,Ba,ITF5,BP,broad,H,55,2.6163636363636367,0.45,2.6981250000000006,148.39687500000002
IT,Cal,ITF6,BP,broad,H,55,7.2309090909090905,0.46,7.622583333333333,419.2420833333333
IT,Cam,ITF3,BP,broad,H,55,3.6763636363636363,0.45,3.7912499999999993,208.51874999999995
IT,ER,ITH5,BP,broad,H,55,3.785454545454545,0.45,3.9037499999999996,214.70624999999998
IT,FVG,ITH4,BP,broad,H,55,3.7181818181818183,0.45,3.8343750000000005,210.89062500000003
IT,La,ITI4,BP,broad,H,55,3.1763636363636363,0.45,3.275625,180.15937499999998
IT,Li,ITC3,BP,broad,H,55,2.2781818181818183,0.45,2.3493749999999998,129.215625
IT,Lo,ITC4,BP,broad,H,45,3.486666666666667,0.45,3.595625,161.803125
IT,Ma,ITI3,BP,broad,H,55,1.2181818181818183,0.45,1.25625,69.09375
IT,Mo,ITF2,BP,broad,H,45,0.9022222222222223,0.46,0.9510925925925926,42.799166666666665
IT,Pi,ITC1,BP,broad,H,55,3.8836363636363633,0.45,4.004999999999999,220.27499999999995
IT,Pu,ITF4,BP,broad,H,45,3.673333333333334,0.45,3.7881250000000004,170.46562500000002
IT,Sa,ITG2,BP,broad,H,55,2.003636363636364,0.45,2.06625,113.64375000000001
IT,Si,ITG1,BP,broad,H,55,1.8581818181818182,0.45,1.9162499999999998,105.39374999999998
