NUTS2,affo rate (t/ha/y),Source,NUTS1
FR26,3.8919653045034543,direct,FR2
FR30,7.815240551922578,direct,FR3
FR41,4.280611912543533,direct,FR4
FR42,5.683210679805834,direct,FR4
FR43,5.683210679805834,direct,FR4
FR51,4.862126958182843,direct,FR5
FR52,4.1158057591817165,direct,FR5
FR53,3.5562608530779665,direct,FR5
FR61,2.998347857578135,direct,FR6
FR62,2.644202663034633,direct,FR6
FR63,3.749319482080401,direct,FR6
FR71,2.776475725590159,direct,FR7
FR72,3.256023572966636,direct,FR7
FR81,1.296511869520775,direct,FR8
FR82,1.0308734831813389,direct,FR8
FR83,1.898473022587435,direct,FR8
FRA1,4.062707021459688,avg nuts0 (from NUTS2),FRA
FRA2,4.062707021459688,avg nuts0 (from NUTS2),FRA
FRA3,4.062707021459688,avg nuts0 (from NUTS2),FRA
FRA4,4.062707021459688,avg nuts0 (from NUTS2),FRA
FRA5,4.062707021459688,avg nuts0 (from NUTS2),FRA
HR03,1.403822533267836,direct,HR0
HR04,1.3826622556034125,direct,HR0
HU10,3.747617488723165,avg nuts2 near,HU1
HU21,4.0874385260907635,direct,HU2
HU22,3.5840214847005596,direct,HU2
HU23,3.798335921603654,direct,HU2
HU31,4.05141302500388,direct,HU3
HU32,4.092654299345107,direct,HU3
HU33,4.396781220184848,direct,HU3
IE01,3.480997533458953,direct,IE0
IE02,3.2293018372945888,direct,IE0
IS00,1.060991223300169,direct,IS0
ITC1,3.594981139030529,direct,ITC
ITC2,1.613930288695159,direct,ITC
ITC3,3.2398144443360577,direct,ITC
ITC4,3.806481484757691,direct,ITC
ITF1,1.784939892695079,direct,ITF
ITF2,1.594468173181329,direct,ITF
ITF3,4.312528723331644,direct,ITF
ITF4,1.905464154282597,direct,ITF
ITF5,2.776540462377347,direct,ITF
ITF6,2.480355863996201,direct,ITF
ITG1,1.890610312633535,direct,ITG
ITG2,1.6234309289270168,direct,ITG
ITH1,3.2832049299541746,avg nuts2 near,ITH
ITH2,3.4898873274075037,avg nuts2 near,ITH
ITH3,3.173293170057316,direct,ITH
ITH4,2.95213745496119,direct,ITH
ITH5,3.477222378863017,direct,ITH
ITI1,2.68754337586282,direct,ITI
ITI2,2.486843921570526,direct,ITI
ITI3,3.8509701842793804,direct,ITI
ITI4,3.1648781669533,direct,ITI
LI00,3.319668405921628,avg nuts2 near,LI0
LT00,2.9075577209916457,avg nuts2 near,LT0
LU00,3.865144629616279,avg nuts2 near,LU0
LV00,1.485858107962091,direct,LV0
ME00,1.403822533267836,avg nuts2 near,ME0
MK00,4.066228038658328,avg nuts2 near,MK0
MT00,4.025368845760703,EL43 copy,MT0
NL11,5.933696257522596,direct,NL1
NL12,5.933696257522596,direct,NL1
NL13,5.933696257522596,direct,NL1
NL21,5.933696257522596,direct,NL2
NL22,5.933696257522596,direct,NL2
NL23,5.933696257522596,direct,NL2
NL31,5.933696257522596,direct,NL3
NL32,5.933696257522596,direct,NL3
NL33,5.933696257522596,direct,NL3
NL34,5.933696257522596,direct,NL3
NL41,5.933696257522596,direct,NL4
NL42,5.933696257522596,direct,NL4
NO01,1.896545606757958,avg nuts2 near,NO0
NO02,1.7230470874296948,avg nuts2 near,NO0
NO03,2.4699018259686314,avg nuts2 near,NO0
NO04,1.797029179582487,avg nuts0 (from NUTS2),NO0
NO05,1.797029179582487,avg nuts0 (from NUTS2),NO0
NO06,1.3052698957008004,avg nuts2 near,NO0
NO07,1.5903814820553515,avg nuts2 near,NO0
PL11,3.840806499115159,direct,PL1
PL12,3.418384087445316,direct,PL1
PL21,2.638566547876602,direct,PL2
PL22,3.840806499115159,direct,PL2
PL31,3.840806499115159,direct,PL3
PL32,2.638566547876602,direct,PL3
PL33,3.840806499115159,direct,PL3
PL34,3.496894540262475,direct,PL3
PL41,4.395747665821659,direct,PL4
PL42,3.739920514750371,direct,PL4
PL43,4.395747665821659,direct,PL4
PL51,4.477872924523881,direct,PL5
PL52,4.477872924523881,direct,PL5
PL61,4.395747665821659,direct,PL6
PL62,3.739920514750371,direct,PL6
PL63,3.739920514750371,direct,PL6
PT11,4.062223853937406,direct,PT1
PT15,3.655263008401757,direct,PT1
PT16,1.3943690496212289,direct,PT1
PT17,3.3848159749187268,direct,PT1
PT18,4.229936343090985,direct,PT1
PT20,3.3453216459940207,avg nuts0 (from NUTS2),PT2
PT30,3.3453216459940207,avg nuts0 (from NUTS2),PT3
RO11,2.1512534661748552,direct,RO1
RO12,2.1512534661748552,direct,RO1
RO21,2.581509688532136,direct,RO2
RO22,2.581509688532136,direct,RO2
RO31,2.9888596320856693,direct,RO3
RO32,2.9888596320856693,direct,RO3
RO41,3.4424190352868846,direct,RO4
RO42,3.4424190352868846,direct,RO4
SE11,2.897971400891782,direct,SE1
SE12,2.908172229910889,direct,SE1
SE21,2.81976305121983,direct,SE2
SE22,3.555366838835311,direct,SE2
SE23,3.043258045179304,direct,SE2
SE31,1.896545606757958,direct,SE3
SE32,1.5495485681014318,direct,SE3
SE33,1.060991223300169,direct,SE3
SI03,2.100869977666473,direct,SI0
SI04,1.9503570875275522,direct,SI0
SK01,2.276962334040884,direct,SK0
SK02,2.109800372991225,direct,SK0
SK03,2.270702542971642,direct,SK0
SK04,2.176403118840648,direct,SK0
TR10,3.3986092878555936,avg nuts0 (from NUTS2),TR1
TR21,3.3986092878555936,avg nuts2 near,TR2
TR22,3.3986092878555936,avg nuts0 (from NUTS2),TR2
TR31,3.3986092878555936,avg nuts0 (from NUTS2),TR3
TR32,3.3986092878555936,avg nuts0 (from NUTS2),TR3
TR33,3.3986092878555936,avg nuts0 (from NUTS2),TR3
TR41,3.3986092878555936,avg nuts0 (from NUTS2),TR4
TR42,3.3986092878555936,avg nuts0 (from NUTS2),TR4
TR51,3.3986092878555936,avg nuts0 (from NUTS2),TR5
TR52,3.3986092878555936,avg nuts0 (from NUTS2),TR5
TR61,3.3986092878555936,avg nuts0 (from NUTS2),TR6
TR62,3.3986092878555936,avg nuts0 (from NUTS2),TR6
TR63,3.3986092878555936,avg nuts0 (from NUTS2),TR6
TR71,3.3986092878555936,avg nuts0 (from NUTS2),TR7
TR72,3.3986092878555936,avg nuts0 (from NUTS2),TR7
TR81,3.3986092878555936,avg nuts0 (from NUTS2),TR8
TR82,3.3986092878555936,avg nuts0 (from NUTS2),TR8
TR83,3.3986092878555936,avg nuts0 (from NUTS2),TR8
TR90,3.3986092878555936,avg nuts0 (from NUTS2),TR9
TRA1,3.3986092878555936,avg nuts0 (from NUTS2),TRA
TRA2,3.3986092878555936,avg nuts0 (from NUTS2),TRA
TRB1,3.3986092878555936,avg nuts0 (from NUTS2),TRB
TRB2,3.3986092878555936,avg nuts0 (from NUTS2),TRB
TRC1,3.3986092878555936,avg nuts0 (from NUTS2),TRC
TRC2,3.3986092878555936,avg nuts0 (from NUTS2),TRC
TRC3,3.3986092878555936,avg nuts0 (from NUTS2),TRC
UKC1,3.480997533458953,nearest within UK,UKC
UKC2,3.480997533458953,nearest within UK,UKC
UKD1,3.480997533458953,nearest within UK,UKD
UKD3,3.480997533458953,nearest within UK,UKD
UKD4,3.480997533458953,nearest within UK,UKD
UKD6,3.480997533458953,nearest within UK,UKD
UKD7,3.480997533458953,nearest within UK,UKD
UKE1,3.480997533458953,nearest within UK,UKE
UKE2,3.480997533458953,nearest within UK,UKE
UKE3,3.480997533458953,nearest within UK,UKE
UKE4,3.480997533458953,nearest within UK,UKE
UKF1,3.480997533458953,nearest within UK,UKF
UKF2,3.480997533458953,nearest within UK,UKF
UKF3,3.480997533458953,nearest within UK,UKF
UKG1,3.480997533458953,nearest within UK,UKG
UKG2,3.480997533458953,nearest within UK,UKG
UKG3,3.480997533458953,nearest within UK,UKG
UKH1,3.480997533458953,nearest within UK,UKH
UKH2,3.480997533458953,nearest within UK,UKH
UKH3,3.480997533458953,nearest within UK,UKH
UKI3,3.480997533458953,nearest within UK,UKI
UKI4,3.480997533458953,nearest within UK,UKI
UKI5,3.480997533458953,nearest within UK,UKI
UKI6,3.480997533458953,nearest within UK,UKI
UKI7,3.480997533458953,nearest within UK,UKI
UKJ1,3.480997533458953,nearest within UK,UKJ
UKJ2,3.480997533458953,nearest within UK,UKJ
UKJ3,3.480997533458953,nearest within UK,UKJ
UKJ4,3.480997533458953,nearest within UK,UKJ
UKK1,3.480997533458953,nearest within UK,UKK
UKK2,3.480997533458953,nearest within UK,UKK
UKK3,3.480997533458953,nearest within UK,UKK
UKK4,3.480997533458953,nearest within UK,UKK
UKL1,3.480997533458953,nearest within UK,UKL
UKL2,3.480997533458953,nearest within UK,UKL
UKM2,3.480997533458953,nearest within UK,UKM
UKM3,3.480997533458953,nearest within UK,UKM
UKM5,3.480997533458953,nearest within UK,UKM
UKM6,3.480997533458953,nearest within UK,UKM
UKN0,3.480997533458953,avg nuts2 near,UKN
