NUTS2,weighted_YL_(t/ha)
UKI4,0.0
UKI5,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKE4,0.0
HU32,9.53391323754951
HU33,8.854140356050776
UKE2,0.0
UKF1,0.0
UKJ4,0.0
UKI6,0.0
UKF2,0.0
UKK4,0.0
UKK1,0.0
UKK2,0.0
SE22,17.107657946021085
UKE1,0.0
UKJ2,0.0
TR82,9.77892694755199
TRC2,30.817843840564997
TRC3,7.917655306817408
TR81,16.73588430295767
TRB2,15.380715664048024
TR83,17.01878573793329
TR90,6.700651252804221
TR71,32.645699778477734
TRC1,29.050322330599233
TRA2,10.572946784267058
TRB1,14.075712928912488
TRA1,11.755615050595747
TR63,18.542061239860328
TR72,9.430347309259671
NO02,0.0
TR61,19.06769467845348
TR62,13.38297436569966
HR06,22.07946019478372
NO06,0.0
NO07,0.0
TR33,17.853139305001505
TR41,27.2175879074484
TR21,26.205104656026244
TR42,20.878699070743444
TR22,26.74286461131958
TR31,33.43624343073983
TR10,11.648878518592067
NO08,0.0
TR32,24.811530721660088
NO09,0.0
NO0A,0.0
TR51,15.72202249200258
TR52,30.65201398625617
HR05,8.989202123750735
NO0B,0.0
