NUTS2,weighted_YL_(t/ha)
DE12,32.4135708022331
CH05,22.958033715706886
CZ02,15.307390080238934
CH01,22.130848894404217
BE24,0.0
BG33,13.25544277358895
CZ03,15.307390080238934
CY00,13.38297436569966
CZ01,15.307390080238934
BG34,9.613289900220236
AT11,12.568404132716863
DE14,32.4135708022331
AT22,18.123713848928
BE25,17.713958325470497
BE22,0.0
AL01,12.170374404913037
BE23,5.9046527751568325
BG41,11.96553932117865
CZ06,15.307390080238934
CH07,22.340353940343753
ES53,0.0
AT33,24.766966118318763
AT12,16.676449550393606
DE13,32.4135708022331
DE21,32.4135708022331
CH06,22.342322644739426
BG32,13.829327256721328
AT34,33.06249604852505
BE10,0.0
BE21,1.1809305550313665
BE33,14.783425266997853
CH02,21.97791307136044
CH03,22.53080132201589
BG42,12.613262738997218
AT31,24.953293497478224
AL02,12.170374404913037
AL03,12.170374404913037
CH04,22.8852392285849
CZ05,15.307390080238934
AT32,12.561585870529154
AT21,18.80625667913594
BE31,7.391712633498926
CZ08,15.307390080238934
AT13,8.860553998113602
BE32,17.411599267710404
ES61,13.504240128819085
ES62,22.33945978713143
ES63,0.0
ES64,0.0
DEF0,32.4135708022331
FI1B,0.0
ES11,8.539428360559725
FR10,29.339702379125576
DE30,32.4135708022331
EL53,19.59832114857753
DEA1,32.4135708022331
EL64,5.401211831677067
DEG0,32.4135708022331
ITG2,23.321529724886034
ITH1,83.57099606501149
DK01,73.72104218362283
FI20,0.0
ES13,15.857127722494939
EL54,0.0
DEA2,32.4135708022331
DE25,32.4135708022331
DED2,32.4135708022331
DE50,32.4135708022331
DE60,32.4135708022331
ES42,24.47744293695623
EL43,0.0
DEC0,32.4135708022331
DEA4,32.4135708022331
ES43,5.880301130351637
FI1C,10.865976607459324
FI1D,12.212716452264342
EL65,0.0
EL30,0.0
DE72,32.4135708022331
DEE0,32.4135708022331
ES41,6.554364113042204
DED5,32.4135708022331
ES22,15.169463831408509
DED4,32.4135708022331
ES12,26.357468018341116
BE34,21.053622308762215
DK02,74.95616616989568
ES52,20.063362228981287
ES21,22.05573106762809
