NUTS2,energy_yields_(MWh/ha)
DE12,42.55532699005573
CH05,44.10851721318424
CZ02,35.966366583248245
CH01,44.120739794533776
BE24,51.59688524943173
BG33,0.0
CZ03,0.0
CY00,0.0
CZ01,36.415970158977665
BG34,0.0
AT11,38.38395233204704
DE14,42.55532699005573
AT22,38.221938680763024
BE25,47.77590251120016
BE22,50.98831227707226
AL01,0.0
BE23,47.77038296087094
BG41,0.0
CZ06,32.678960878157156
CH07,0.0
ES53,0.0
AT33,0.0
AT12,39.96802068232284
DE13,42.55532699005573
DE21,42.55532699005573
CH06,44.46581300486112
BG32,0.0
AT34,0.0
BE10,50.26498219124397
BE21,43.36101488414352
BE33,53.3099680327444
CH02,44.10702025753428
CH03,44.133168182776615
BG42,0.0
AT31,50.85861937403328
AL02,0.0
AL03,0.0
CH04,44.150215018679205
CZ05,36.17961994801622
AT32,0.0
AT21,39.89036627430556
BE31,51.765657491678304
CZ08,36.20202602866019
AT13,41.81597694171071
BE32,52.00349842374136
ES61,47.613824702891655
ES62,0.0
ES63,0.0
ES64,0.0
DEF0,42.55532699005573
FI1B,0.0
ES11,0.0
FR10,40.86659288566243
DE30,42.55532699005573
EL53,29.757136025703048
DEA1,42.55532699005573
EL64,0.0
DEG0,42.55532699005573
ITG2,0.0
ITH1,0.0
DK01,0.0
FI20,0.0
ES13,0.0
EL54,0.0
DEA2,42.55532699005573
DE25,42.55532699005573
DED2,42.55532699005573
DE50,42.55532699005573
DE60,42.55532699005573
ES42,36.63253236805556
EL43,0.0
DEC0,42.55532699005573
DEA4,42.55532699005573
ES43,0.0
FI1C,0.0
FI1D,0.0
EL65,0.0
EL30,0.0
DE72,42.55532699005573
DEE0,42.55532699005573
ES41,51.566210953955846
DED5,42.55532699005573
ES22,46.35774249684036
DED4,42.55532699005573
ES12,0.0
BE34,49.98723817337964
DK02,42.03616375492675
ES52,0.0
ES21,55.30874069625859
ES24,0.0
ES30,0.0
ES70,0.0
DE22,42.55532699005573
BG31,0.0
FI19,0.0
RS21,0.0
BE35,47.988898107513265
DEB3,42.55532699005573
DE11,42.55532699005573
CZ04,35.90120243584153
ES51,0.0
ES23,53.35319350979846
CZ07,36.153589942081155
FRB0,43.97154987896478
RO21,0.0
SE11,0.0
SE12,0.0
ITH4,33.06465033132987
MK00,0.0
PT17,0.0
PT16,0.0
PL22,40.53417258913888
SE21,0.0
LU00,0.0
PL61,36.47979126151033
PL41,36.269512808135254
LV00,0.0
RS12,29.69389296477444
PL62,34.14372284820223
FRI2,0.0
PL42,33.92063847567071
PL51,35.370608178109975
PL52,38.42954927139689
PL71,37.32353565294415
RS22,0.0
LT02,0.0
FRI3,0.0
PT18,0.0
SI04,0.0
PL63,41.26572097458237
PL43,34.598809662381505
PT15,0.0
ME00,0.0
NL12,48.44544999728322
NL13,43.77458412621883
PL92,34.25650677190883
RO31,0.0
ITI1,0.0
ITI2,0.0
NL11,46.11753681618583
ITH5,35.08509342040585
NL41,48.03477814069033
NL42,45.638446589949744
FRD2,52.41419551597451
DE40,42.55532699005573
EE00,0.0
ITG1,0.0
RO22,0.0
PL72,35.45792100300094
EL51,0.0
DE26,42.55532699005573
NL22,45.700076360059576
DK03,41.05387838368056
DE93,42.55532699005573
PT11,0.0
DE94,42.55532699005573
EL41,0.0
EL62,0.0
RO12,0.0
EL63,0.0
EL61,35.12985752993686
DEA5,42.55532699005573
PL82,36.497105475839014
DE24,42.55532699005573
DEB2,42.55532699005573
PL81,32.57420471684513
ITI4,0.0
DE91,42.55532699005573
EL52,30.42531811810963
EL42,0.0
DE80,42.55532699005573
DK04,0.0
ITH3,38.45623405373375
RO11,0.0
NL34,50.39869209975455
DK05,0.0
DE23,42.55532699005573
DEA3,42.55532699005573
PT20,0.0
PT30,0.0
PL21,35.27258028610655
ITH2,0.0
DE27,42.55532699005573
DE71,42.55532699005573
DE73,42.55532699005573
DE92,42.55532699005573
FRD1,48.86989505700381
DEB1,42.55532699005573
UKG1,39.95088958256225
UKL2,39.95088958256225
UKM5,39.95088958256225
UKM6,39.95088958256225
UKF3,39.95088958256225
UKK3,39.95088958256225
SK03,0.0
UKM8,39.95088958256225
FRE2,47.25509512153438
SK04,0.0
UKM9,39.95088958256225
ITF5,0.0
ITF6,0.0
SK02,33.76716422894508
FRK2,0.0
FRM0,0.0
FRF1,49.99469804335394
SE23,37.02072271093182
FRE1,52.212218398316935
UKJ1,39.95088958256225
HU22,32.60399696614299
ITC3,0.0
UKM7,39.95088958256225
HR02,37.30434056323862
FRY4,0.0
FRY5,0.0
PL84,0.0
FRJ2,0.0
MT00,0.0
NL23,57.88606473358363
NL31,45.421789028356486
NL32,52.16531816692449
HU31,35.06626606697383
RO32,0.0
RS11,0.0
ITC2,0.0
NL33,51.27701000525774
ITF1,0.0
HR03,0.0
IE06,0.0
UKG2,39.95088958256225
ITF2,0.0
PL91,30.73578279889756
FRG0,42.077755568290605
RO41,0.0
ITC4,36.043291151207384
ITF3,0.0
ITC1,29.44033767831915
HU23,36.280196141356754
UKH3,39.95088958256225
FRY3,0.0
RO42,0.0
FRF2,46.18572739142943
HU12,38.23792052074653
UKL1,39.95088958256225
FRL0,0.0
IS00,0.0
FRY1,0.0
FRY2,0.0
FRI1,0.0
FRF3,39.99904545693226
FRC2,0.0
HU11,35.498323526620375
ITI3,0.0
LI00,22.05425860659212
FRK1,40.1033902805989
FRC1,35.69669251519634
LT01,0.0
NL21,44.00525775896416
FRJ1,0.0
SE33,0.0
UKN0,39.95088958256225
ITF4,0.0
IE04,0.0
IE05,0.0
UKC1,39.95088958256225
UKH2,39.95088958256225
UKE3,39.95088958256225
SK01,33.02182153984181
UKJ3,39.95088958256225
HU21,37.00114338895142
SI03,0.0
UKC2,39.95088958256225
SE31,0.0
FRH0,42.06001350160256
UKG3,39.95088958256225
UKD6,39.95088958256225
UKD7,39.95088958256225
UKH1,39.95088958256225
SE32,0.0
UKI7,39.95088958256225
UKI3,39.95088958256225
UKI4,39.95088958256225
UKI5,39.95088958256225
UKD1,39.95088958256225
UKD3,39.95088958256225
UKD4,39.95088958256225
UKE4,39.95088958256225
HU32,35.528558970367406
HU33,33.18778986711533
UKE2,39.95088958256225
UKF1,39.95088958256225
UKJ4,39.95088958256225
UKI6,39.95088958256225
UKF2,39.95088958256225
UKK4,39.95088958256225
UKK1,39.95088958256225
