NUTS2,"Bioethanol barley, wheat, grain maize, oats, other cereals and rye",Sugar from sugar beet,Rape seed,perennials
AL01,10.77335325250524,29.757136025703048,7.473239000783216,6.591572628051398
AL02,10.77335325250524,29.757136025703048,7.473239000783216,6.591572628051398
AL03,10.77335325250524,29.757136025703048,11.845482245542977,6.591572628051398
AT11,10.33576061711189,38.38395233204704,8.122027592871538,6.247263313637784
AT12,10.007636140143342,39.96802068232284,9.896396974125544,8.186873792039874
AT13,8.540817999964725,41.81597694171071,6.430400155384541,6.021895032051281
AT21,15.882648352214984,39.89036627430556,12.033059469886876,9.380510320310826
AT22,19.31396467241513,38.221938680763024,13.875463778426905,9.12102533096314
AT31,12.026705769861135,50.85861937403328,8.258955639191567,10.958297207137859
AT32,7.6707084384756445,42.60788112468492,10.991245207743766,7.171479983370973
AT33,7.920667533302479,41.513154304267005,12.599838823788259,11.207608453853295
AT34,7.784235825951415,42.68308137439068,12.924418203602473,13.722860896297925
BE10,14.678457941971514,50.26498219124397,17.893210275265822,13.594997623365094
BE21,16.404669360513736,43.36101488414352,14.18287014033809,13.594997623365094
BE22,14.560108270353979,50.98831227707226,16.062100433932887,13.594997623365094
BE23,17.047015115954167,47.77038296087094,16.15834133845661,13.594997623365094
BE24,15.452093963925652,51.59688524943173,17.1016681353831,13.594997623365094
BE25,17.36465155406181,47.77590251120016,15.673494535522455,13.594997623365094
BE31,15.21411271068453,51.765657491678304,17.587936041240887,13.12458582410893
BE32,14.95649741633715,52.00349842374136,16.290077841836606,12.88978653577175
BE33,15.322521300361194,53.3099680327444,17.623610239504146,12.654174024852766
BE34,8.889366762172411,49.98723817337964,14.988334628482713,10.63423235201715
BE35,11.645456067206897,47.988898107513265,16.064620089316858,12.001258327203203
BG31,12.590689322581799,37.748898548629136,9.452159327363855,4.238853003371486
BG32,13.048180334632312,41.41068876388889,8.294654202815705,4.840264539852464
BG33,11.268130581720737,41.41068876388889,8.562011221756245,4.639404970756132
BG34,8.526944831246567,41.41068876388889,8.745164889563235,3.3646514650770825
BG41,7.275921079934666,30.42531811810963,8.060626416661446,4.187938762412527
BG42,8.3969670162316,37.748898548629136,7.423222120063049,4.4146419586490255
CH01,11.485620562061433,44.120739794533776,11.11438353617613,7.85167447220894
CH02,9.898160710546561,44.10702025753428,12.767139117909233,7.852714386462771
CH03,10.350896167919062,44.133168182776615,13.226226639647399,7.909125509762747
CH04,11.016014245182408,44.150215018679205,11.054361046671117,8.104361667749078
CH05,10.94098410827814,44.10851721318424,11.56149936074096,8.142721586181283
CH06,9.872358978631054,44.46581300486112,14.587790678567147,7.852280642129745
CH07,16.84496126787945,39.63573976842113,10.209626706154634,7.821682098765432
CY00,11.578900122482338,32.805870319444445,16.325501822115477,5.315866741741742
CZ01,10.393617390325533,36.415970158977665,13.00971221291911,8.196692864839033
CZ02,10.313583079992865,35.966366583248245,12.930191043949089,8.196692864839033
CZ03,9.642543949114371,40.06911770481636,13.616882915708734,8.196692864839033
CZ04,10.388027240706855,35.90120243584153,12.859153524125338,8.196692864839033
CZ05,10.405696097386823,36.17961994801622,12.820887481116534,8.196692864839033
CZ06,9.87133734962177,32.678960878157156,12.130995145303089,8.196692864839033
CZ07,9.89699794681092,36.153589942081155,12.957975145949094,8.196692864839033
CZ08,9.73850512128376,36.20202602866019,12.47257853554797,8.196692864839033
DE11,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE12,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE13,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE14,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE21,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE22,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE23,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE24,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE25,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE26,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE27,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE30,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE40,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE50,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE60,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE71,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE72,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE73,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE80,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE91,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE92,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE93,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DE94,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEA1,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEA2,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEA3,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEA4,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEA5,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEB1,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEB2,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
