NUTS2,energy_yields_(MWh/ha)
DE12,13.768167314940333
CH05,11.56149936074096
CZ02,12.930191043949089
CH01,11.11438353617613
BE24,17.1016681353831
BG33,8.562011221756245
CZ03,13.616882915708734
CY00,0.0
CZ01,13.00971221291911
BG34,0.0
AT11,8.122027592871538
DE14,13.768167314940333
AT22,13.875463778426905
BE25,15.673494535522455
BE22,16.062100433932887
AL01,0.0
BE23,16.15834133845661
BG41,8.060626416661446
CZ06,12.130995145303089
CH07,10.209626706154634
ES53,0.0
AT33,0.0
AT12,0.0
DE13,13.768167314940333
DE21,13.768167314940333
CH06,14.587790678567147
BG32,8.294654202815705
AT34,0.0
BE10,17.893210275265822
BE21,14.18287014033809
BE33,17.623610239504146
CH02,12.767139117909233
CH03,13.226226639647399
BG42,7.423222120063049
AT31,8.258955639191567
AL02,0.0
AL03,0.0
CH04,11.054361046671117
CZ05,12.820887481116534
AT32,10.991245207743766
AT21,12.033059469886876
BE31,17.587936041240887
CZ08,12.47257853554797
AT13,6.430400155384541
BE32,16.290077841836606
ES61,6.461810421427984
ES62,0.0
ES63,0.0
ES64,0.0
DEF0,13.768167314940333
FI1B,0.0
ES11,0.0
FR10,13.993275781941493
DE30,13.768167314940333
EL53,10.152421442505807
DEA1,13.768167314940333
EL64,7.4140511512185565
DEG0,13.768167314940333
ITG2,0.0
ITH1,0.0
DK01,16.485987023281414
FI20,6.38229156315214
ES13,0.0
EL54,17.910786293339907
DEA2,13.768167314940333
DE25,13.768167314940333
DED2,13.768167314940333
DE50,13.768167314940333
DE60,13.768167314940333
ES42,0.0
EL43,0.0
DEC0,13.768167314940333
DEA4,13.768167314940333
ES43,0.0
FI1C,0.0
FI1D,0.0
EL65,0.0
EL30,0.0
DE72,13.768167314940333
DEE0,13.768167314940333
ES41,0.0
DED5,13.768167314940333
ES22,6.7431350943557415
DED4,13.768167314940333
ES12,32.62060132277761
BE34,14.988334628482713
DK02,17.47030653243567
ES52,0.0
ES21,0.0
ES24,0.0
ES30,0.0
ES70,0.0
DE22,13.768167314940333
BG31,9.452159327363855
FI19,0.0
RS21,7.473239000783216
BE35,16.064620089316858
DEB3,13.768167314940333
DE11,13.768167314940333
CZ04,12.859153524125338
ES51,8.297048123105396
ES23,7.85085845068201
CZ07,12.957975145949094
FRB0,11.164264670535774
RO21,7.989816905586196
SE11,11.172991642742568
SE12,12.32630077310017
ITH4,18.106123948323084
MK00,0.0
PT17,14.318275900662467
PT16,11.731470784980548
PL22,11.116973660013745
SE21,11.383650984157235
LU00,14.463932164410915
PL61,11.46852420782222
PL41,11.131664259136931
LV00,0.0
RS12,0.0
PL62,11.287161895785959
FRI2,7.792908716211706
PL42,10.979852875081194
PL51,11.713648223163402
PL52,12.408830021323093
PL71,10.964311445131935
RS22,7.722493701356533
LT02,12.237264298095917
FRI3,0.0
PT18,0.0
SI04,8.2182364738511
PL63,12.284762699352497
PL43,9.922953260565404
PT15,0.0
ME00,0.0
NL12,15.695709621974155
NL13,16.5278787828599
PL92,12.280098964212382
RO31,0.0
ITI1,8.560797611841817
ITI2,7.349897702231334
NL11,16.54649311149688
ITH5,13.369660476051214
NL41,15.282042576214293
NL42,15.262702298750197
FRD2,14.808446086064846
DE40,13.768167314940333
EE00,0.0
ITG1,0.0
RO22,7.555337842486282
PL72,9.773200693374509
EL51,10.411489163812442
DE26,13.768167314940333
NL22,12.192763854358308
DK03,16.68530310136045
DE93,13.768167314940333
PT11,0.0
DE94,13.768167314940333
EL41,0.0
EL62,0.0
RO12,0.0
EL63,11.720566296529395
EL61,11.612640418485718
DEA5,13.768167314940333
PL82,10.476328638672648
DE24,13.768167314940333
DEB2,13.768167314940333
PL81,11.985640409104551
ITI4,7.358474946119193
DE91,13.768167314940333
EL52,11.904238183654916
EL42,0.0
DE80,13.768167314940333
DK04,16.82055357678334
ITH3,13.476894274477287
RO11,6.737840507963907
NL34,13.060059587561327
DK05,16.332355430355005
DE23,13.768167314940333
DEA3,13.768167314940333
PT20,0.0
PT30,0.0
PL21,11.198360777985114
ITH2,0.0
DE27,13.768167314940333
DE71,13.768167314940333
DE73,13.768167314940333
DE92,13.768167314940333
FRD1,14.182806862619104
DEB1,13.768167314940333
UKG1,0.0
UKL2,0.0
UKM5,0.0
UKM6,0.0
UKF3,0.0
UKK3,0.0
SK03,6.789098906115962
UKM8,0.0
FRE2,15.392763665551763
SK04,0.0
UKM9,0.0
ITF5,0.0
ITF6,7.150530362420455
SK02,9.267390152557693
FRK2,6.670816225904339
FRM0,0.0
FRF1,14.663941991884792
SE23,13.776035946359194
FRE1,17.414672416542054
UKJ1,0.0
HU22,7.9903322386848625
ITC3,0.0
UKM7,0.0
HR02,6.383099910451961
FRY4,0.0
FRY5,0.0
PL84,12.43946054135617
FRJ2,0.0
MT00,0.0
NL23,11.78951080415604
NL31,6.736863316660593
NL32,13.027979286053418
HU31,7.912825264685376
RO32,0.0
RS11,8.061618886289258
ITC2,0.0
NL33,14.803370708977884
ITF1,8.323593085517631
HR03,0.0
IE06,17.312278142036636
UKG2,0.0
ITF2,7.6789887895862305
PL91,11.097617988315909
FRG0,9.571722268600093
RO41,9.629563271845731
ITC4,13.42932363870263
ITF3,8.986109900266356
ITC1,8.953173027882912
HU23,6.9907346320778085
UKH3,0.0
FRY3,0.0
RO42,7.214245131691172
FRF2,12.863034747190676
HU12,8.266356782417814
UKL1,0.0
FRL0,0.0
IS00,0.0
FRY1,0.0
FRY2,0.0
FRI1,0.0
FRF3,11.149546463022762
FRC2,10.974166131032499
