NUTS_ID,affo rate (t/ha),Source,NUTS1
ES51,52.00891736888551,direct,ES5
ES52,35.25419242836586,direct,ES5
ES53,44.28306354423863,direct,ES5
ES61,50.33723803581956,direct,ES6
ES62,31.40710746475634,direct,ES6
ES63,52.00639289554062,avg nuts0 (from NUTS2),ES6
ES64,52.00639289554062,avg nuts0 (from NUTS2),ES6
ES70,12.8762838615715,direct,ES7
FI19,27.85799499788344,direct,FI1
FI1B,27.85799499788344,direct,FI1
FI1C,27.85799499788344,direct,FI1
FI1D,21.60604654764454,direct,FI1
FI20,27.85799499788344,direct,FI2
FR10,65.40068904456412,direct,FR1
FR21,52.21370391573201,direct,FR2
FR22,73.63252119008291,direct,FR2
FR23,36.37642150668627,direct,FR2
FR24,41.14958743218465,direct,FR2
FR25,29.63601787624851,direct,FR2
FR26,38.91965304503454,direct,FR2
FR30,78.15240551922578,direct,FR3
FR41,42.80611912543533,direct,FR4
FR42,56.83210679805834,direct,FR4
FR43,56.83210679805834,direct,FR4
FR51,48.62126958182843,direct,FR5
FR52,41.15805759181717,direct,FR5
FR53,35.56260853077966,direct,FR5
FR61,29.98347857578135,direct,FR6
FR62,26.44202663034633,direct,FR6
FR63,37.49319482080401,direct,FR6
FR71,27.76475725590159,direct,FR7
FR72,32.56023572966636,direct,FR7
FR81,12.96511869520775,direct,FR8
FR82,10.30873483181339,direct,FR8
FR83,18.98473022587435,direct,FR8
FRA1,40.62707021459688,avg nuts0 (from NUTS2),FRA
FRA2,40.62707021459688,avg nuts0 (from NUTS2),FRA
FRA3,40.62707021459688,avg nuts0 (from NUTS2),FRA
FRA4,40.62707021459688,avg nuts0 (from NUTS2),FRA
FRA5,40.62707021459688,avg nuts0 (from NUTS2),FRA
HR03,14.03822533267836,direct,HR0
HR04,13.826622556034124,direct,HR0
HU10,37.47617488723165,avg nuts2 near,HU1
HU21,40.87438526090764,direct,HU2
HU22,35.8402148470056,direct,HU2
HU23,37.98335921603654,direct,HU2
HU31,40.5141302500388,direct,HU3
HU32,40.92654299345107,direct,HU3
HU33,43.96781220184848,direct,HU3
IE01,34.80997533458953,direct,IE0
IE02,32.29301837294589,direct,IE0
IS00,10.60991223300169,direct,IS0
ITC1,35.94981139030529,direct,ITC
ITC2,16.13930288695159,direct,ITC
ITC3,32.39814444336058,direct,ITC
ITC4,38.06481484757691,direct,ITC
ITF1,17.84939892695079,direct,ITF
ITF2,15.94468173181329,direct,ITF
ITF3,43.12528723331644,direct,ITF
ITF4,19.05464154282597,direct,ITF
ITF5,27.76540462377347,direct,ITF
ITF6,24.80355863996201,direct,ITF
ITG1,18.90610312633535,direct,ITG
ITG2,16.23430928927017,direct,ITG
ITH1,32.832049299541744,avg nuts2 near,ITH
ITH2,34.89887327407504,avg nuts2 near,ITH
ITH3,31.73293170057316,direct,ITH
ITH4,29.5213745496119,direct,ITH
ITH5,34.77222378863017,direct,ITH
ITI1,26.8754337586282,direct,ITI
ITI2,24.86843921570526,direct,ITI
ITI3,38.5097018427938,direct,ITI
ITI4,31.648781669533,direct,ITI
LI00,33.19668405921628,avg nuts2 near,LI0
LT00,29.075577209916457,avg nuts2 near,LT0
LU00,38.65144629616279,avg nuts2 near,LU0
LV00,14.85858107962091,direct,LV0
ME00,14.03822533267836,avg nuts2 near,ME0
MK00,40.66228038658328,avg nuts2 near,MK0
MT00,40.253688457607026,EL43 copy,MT0
NL11,59.33696257522596,direct,NL1
NL12,59.33696257522596,direct,NL1
NL13,59.33696257522596,direct,NL1
NL21,59.33696257522596,direct,NL2
NL22,59.33696257522596,direct,NL2
NL23,59.33696257522596,direct,NL2
NL31,59.33696257522596,direct,NL3
NL32,59.33696257522596,direct,NL3
NL33,59.33696257522596,direct,NL3
NL34,59.33696257522596,direct,NL3
NL41,59.33696257522596,direct,NL4
NL42,59.33696257522596,direct,NL4
NO01,18.96545606757958,avg nuts2 near,NO0
NO02,17.230470874296948,avg nuts2 near,NO0
NO03,24.699018259686312,avg nuts2 near,NO0
NO04,17.97029179582487,avg nuts0 (from NUTS2),NO0
NO05,17.97029179582487,avg nuts0 (from NUTS2),NO0
NO06,13.052698957008005,avg nuts2 near,NO0
NO07,15.903814820553515,avg nuts2 near,NO0
PL11,38.40806499115159,direct,PL1
PL12,34.18384087445316,direct,PL1
PL21,26.38566547876602,direct,PL2
PL22,38.40806499115159,direct,PL2
PL31,38.40806499115159,direct,PL3
PL32,26.38566547876602,direct,PL3
PL33,38.40806499115159,direct,PL3
PL34,34.96894540262475,direct,PL3
PL41,43.95747665821659,direct,PL4
PL42,37.39920514750371,direct,PL4
PL43,43.95747665821659,direct,PL4
PL51,44.77872924523881,direct,PL5
PL52,44.77872924523881,direct,PL5
PL61,43.95747665821659,direct,PL6
PL62,37.39920514750371,direct,PL6
PL63,37.39920514750371,direct,PL6
PT11,40.62223853937406,direct,PT1
PT15,36.55263008401757,direct,PT1
PT16,13.94369049621229,direct,PT1
PT17,33.84815974918727,direct,PT1
PT18,42.29936343090986,direct,PT1
PT20,33.45321645994021,avg nuts0 (from NUTS2),PT2
PT30,33.45321645994021,avg nuts0 (from NUTS2),PT3
RO11,21.512534661748553,direct,RO1
RO12,21.512534661748553,direct,RO1
RO21,25.81509688532136,direct,RO2
RO22,25.81509688532136,direct,RO2
RO31,29.888596320856692,direct,RO3
RO32,29.888596320856692,direct,RO3
RO41,34.42419035286885,direct,RO4
RO42,34.42419035286885,direct,RO4
SE11,28.97971400891782,direct,SE1
